Flow,Trigger,Emails sent,Emails delivered,Delivery rate,Emails opened,Open rate,Emails clicked,Click rate,Bounced emails,Bounce rate,Unsubscribed,Unsubscribe rate,Spam reports,Spam complaint rate,Email attributed orders,Email attributed revenue
Summary,-,"12,565","12,536",99.77%,"5,693",45.41%,"1,616",12.89%,29,0.23%,14,0.39%,1,0.01%,18,$686.91 
When shipment updates to in transit,In transit,"6,321","6,319",99.97%,"2,930",46.37%,"1,112",17.60%,2,0.03%,4,0.16%,1,0.02%,,
comment & nps,Delivered,"1,731","1,730",99.94%,754,43.58%,17,0.98%,1,0.06%,9,0.54%,0,0.00%,,
Delivered,Delivered,"1,658","1,658",100.00%,697,42.04%,139,8.38%,0,0.00%,0,0.00%,0,0.00%,,
Delivery arriving soon,Delivery arriving soon,"1,357","1,357",100.00%,628,46.28%,194,14.30%,0,0.00%,0,0.00%,0,0.00%,,
Order placed,Order placed,"1,264","1,239",98.02%,576,46.49%,104,8.39%,25,1.98%,0,0.00%,0,0.00%,,
Split order shipments updated (digest),Split order shipments updated (digest),162,162,100.00%,68,41.98%,26,16.05%,0,0.00%,0,0.00%,0,0.00%,,
Failed attempt,Failed attempt,29,29,100.00%,19,65.52%,12,41.38%,0,0.00%,0,0.00%,0,0.00%,,
Order canceled,Order canceled,25,24,96.00%,12,50.00%,3,12.50%,1,4.00%,0,0.00%,0,0.00%,,
Exception,Exception,18,18,100.00%,9,50.00%,9,50.00%,0,0.00%,0,0.00%,0,0.00%,,
comment & nps,-,0,0,-,0,-,0,-,0,-,1,-,0,-,,
